Name,Subtitle,Acceleration,TopSpeed (/H),Range (KM),Range (Miles),Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,PriceinUS
Byton M-Byte 95 kWh 4WD,Battery Electric Vehicle |       95 kWh ,5.5 sec,190 /h,390,241.8,244 Wh/,460 /h,All Wheel Drive,5,"64,000","60,000",117804.75
Renault Zoe ZE40 R110,Battery Electric Vehicle |       41 kWh,11.4 sec,135 /h,255,158.1,161 Wh/,230 /h,Front Wheel Drive,5,"29,990",N/A,28495.25
Porsche Taycan 4S,Battery Electric Vehicle |       71 kWh,4.0 sec,250 /h,375,232.5,189 Wh/,750 /h,All Wheel Drive,4,"106,487","83,580",180567.45
Porsche Taycan 4S Plus,Battery Electric Vehicle |       83.7 kWh,4.0 sec,250 /h,435,269.7,192 Wh/,910 /h,All Wheel Drive,4,"113,008","88,193",191144.75
Hyundai Kona Electric 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.9 sec,155 /h,250,155,157 Wh/,210 /h,Front Wheel Drive,5,"34,850",N/A,33112.25
Mercedes EQV 300 Long,Battery Electric Vehicle |       90 kWh,12.1 sec,160 /h,320,198.4,281 Wh/,280 /h,Front Wheel Drive,7,"71,388","70,665",134957
Mazda MX-30 ,Battery Electric Vehicle |       30 kWh ,9.7 sec,140 /h,170,105.4,176 Wh/,180 /h,Front Wheel Drive,5,"34,490","26,045",57513
Ford Mustang Mach-E SR RWD,Battery Electric Vehicle |       68 kWh,6.9 sec,180 /h,345,213.9,197 Wh/,380 /h,Rear Wheel Drive,5,"46,900","41,330",83823.25
Ford Mustang Mach-E ER RWD,Battery Electric Vehicle |       88 kWh,7.0 sec,180 /h,440,272.8,200 Wh/,430 /h,Rear Wheel Drive,5,"54,475","49,980",99237
Ford Mustang Mach-E SR AWD,Battery Electric Vehicle |       68 kWh,6.3 sec,180 /h,330,204.6,206 Wh/,360 /h,All Wheel Drive,5,"54,000","46,650",95622.25
Ford Mustang Mach-E ER AWD,Battery Electric Vehicle |       88 kWh,5.8 sec,180 /h,420,260.4,210 Wh/,410 /h,All Wheel Drive,5,"62,900","57,030",113938.25
Ford Mustang Mach-E GT,Battery Electric Vehicle |       88 kWh,4.4 sec,200 /h,410,254.2,215 Wh/,400 /h,All Wheel Drive,5,N/A,"67,225",63868.5
Audi e-tron Sportback 50 quattro,Battery Electric Vehicle |       64.7 kWh,6.8 sec,190 /h,295,182.9,219 Wh/,490 /h,All Wheel Drive,5,"71,350","69,100",133432.25
Tesla Cybertruck Single Motor,Battery Electric Vehicle |       100 kWh ,7.0 sec,180 /h,390,241.8,256 Wh/,740 /h,Rear Wheel Drive,7,"45,000","39,000",79806.65
Tesla Cybertruck Dual Motor,Battery Electric Vehicle |       120 kWh ,5.0 sec,190 /h,460,285.2,261 Wh/,710 /h,All Wheel Drive,7,"55,000","48,000",97856.65
